date,edition,source_url,markdown_filename,release_tag
2026-05-07,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=07052026-MAT.pdf&anio=2026&repo=repositorio/,07052026-MAT.md,dof-2026
2026-05-08,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=08052026-MAT.pdf&anio=2026&repo=repositorio/,08052026-MAT.md,dof-2026
2026-05-08,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=08052026-VES.pdf&anio=2026&repo=repositorio/,08052026-VES.md,dof-2026
2026-05-09,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=09052026-VES.pdf&anio=2026&repo=repositorio/,09052026-VES.md,dof-2026
2026-05-11,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=11052026-MAT.pdf&anio=2026&repo=repositorio/,11052026-MAT.md,dof-2026
2026-05-11,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=11052026-VES.pdf&anio=2026&repo=repositorio/,11052026-VES.md,dof-2026
2026-05-12,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=12052026-MAT.pdf&anio=2026&repo=repositorio/,12052026-MAT.md,dof-2026
2026-05-13,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=13052026-MAT.pdf&anio=2026&repo=repositorio/,13052026-MAT.md,dof-2026
2026-05-14,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=14052026-MAT.pdf&anio=2026&repo=repositorio/,14052026-MAT.md,dof-2026
2026-05-15,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=15052026-MAT.pdf&anio=2026&repo=repositorio/,15052026-MAT.md,dof-2026
2026-05-15,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=15052026-VES.pdf&anio=2026&repo=repositorio/,15052026-VES.md,dof-2026
2026-05-18,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=18052026-MAT.pdf&anio=2026&repo=repositorio/,18052026-MAT.md,dof-2026
2026-05-18,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=18052026-VES.pdf&anio=2026&repo=repositorio/,18052026-VES.md,dof-2026
2026-05-19,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=19052026-MAT.pdf&anio=2026&repo=repositorio/,19052026-MAT.md,dof-2026
2026-05-20,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=20052026-MAT.pdf&anio=2026&repo=repositorio/,20052026-MAT.md,dof-2026
2026-05-21,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=21052026-MAT.pdf&anio=2026&repo=repositorio/,21052026-MAT.md,dof-2026
2026-05-22,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=22052026-MAT.pdf&anio=2026&repo=repositorio/,22052026-MAT.md,dof-2026
